Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
307,5,Sep 27 2008,Sat,Western Michigan,7,@,Temple,3,
308,6,Sep 30 2008,Tue,Middle Tennessee State,14,,Florida Atlantic,13,
309,6,Oct 1 2008,Wed,(17) Boise State,38,,Louisiana Tech,3,
310,6,Oct 2 2008,Thu,Memphis,33,@,Alabama-Birmingham,30,
311,6,Oct 2 2008,Thu,Pittsburgh,26,@,(10) South Florida,21,
312,6,Oct 2 2008,Thu,(15) Utah,31,,Oregon State,28,
313,6,Oct 3 2008,Fri,(8) Brigham Young,34,@,Utah State,14,
314,6,Oct 3 2008,Fri,Cincinnati,33,@,Marshall,10,
315,6,Oct 4 2008,Sat,Akron,30,@,Kent State,27,
316,6,Oct 4 2008,Sat,(2) Alabama,17,,Kentucky,14,
317,6,Oct 4 2008,Sat,Arizona,48,,Washington,14,
318,6,Oct 4 2008,Sat,Army,44,@,Tulane,13,
319,6,Oct 4 2008,Sat,Ball State,31,@,Toledo,0,
320,6,Oct 4 2008,Sat,Boston College,38,@,North Carolina State,31,
321,6,Oct 4 2008,Sat,California,24,,Arizona State,14,
322,6,Oct 4 2008,Sat,Central Florida,31,,Southern Methodist,17,
323,6,Oct 4 2008,Sat,Colorado State,41,,Nevada-Las Vegas,28,
324,6,Oct 4 2008,Sat,Eastern Michigan,24,@,Bowling Green State,21,
325,6,Oct 4 2008,Sat,(12) Florida,38,@,Arkansas,7,
326,6,Oct 4 2008,Sat,Florida International,42,@,North Texas,10,
327,6,Oct 4 2008,Sat,Florida State,41,@,Miami (FL),39,
328,6,Oct 4 2008,Sat,Georgia Tech,27,,Duke,0,
329,6,Oct 4 2008,Sat,Hawaii,32,@,(22) Fresno State,29,
330,6,Oct 4 2008,Sat,Illinois,45,@,Michigan,20,
331,6,Oct 4 2008,Sat,(16) Kansas,35,@,Iowa State,33,
332,6,Oct 4 2008,Sat,Louisiana,44,@,Louisiana-Monroe,35,
333,6,Oct 4 2008,Sat,Michigan State,16,,Iowa,13,
334,6,Oct 4 2008,Sat,Minnesota,16,,Indiana,7,
335,6,Oct 4 2008,Sat,(4) Missouri,52,@,Nebraska,17,
336,6,Oct 4 2008,Sat,Navy,33,@,Air Force,27,
337,6,Oct 4 2008,Sat,Nevada,49,@,Idaho,14,
338,6,Oct 4 2008,Sat,New Mexico,24,,Wyoming,0,
339,6,Oct 4 2008,Sat,New Mexico State,45,,Alcorn State,10,
340,6,Oct 4 2008,Sat,North Carolina,38,,(24) Connecticut,12,
341,6,Oct 4 2008,Sat,Notre Dame,28,,Stanford,21,
342,6,Oct 4 2008,Sat,(14) Ohio State,20,@,(18) Wisconsin,17,
343,6,Oct 4 2008,Sat,(1) Oklahoma,49,@,Baylor,17,
344,6,Oct 4 2008,Sat,(21) Oklahoma State,56,,Texas A&M,28,
345,6,Oct 4 2008,Sat,(6) Penn State,20,@,Purdue,6,
346,6,Oct 4 2008,Sat,South Carolina,31,@,Mississippi,24,
347,6,Oct 4 2008,Sat,(9) Southern California,44,,(23) Oregon,10,
348,6,Oct 4 2008,Sat,Temple,28,@,Miami (OH),10,
349,6,Oct 4 2008,Sat,Tennessee,13,,Northern Illinois,9,
350,6,Oct 4 2008,Sat,(5) Texas,38,@,Colorado,14,
351,6,Oct 4 2008,Sat,Texas Christian,41,,San Diego State,7,
352,6,Oct 4 2008,Sat,(7) Texas Tech,58,@,Kansas State,28,
353,6,Oct 4 2008,Sat,Texas-El Paso,40,@,Southern Mississippi,37,
354,6,Oct 4 2008,Sat,Tulsa,63,,Rice,28,
355,6,Oct 4 2008,Sat,UCLA,28,,Washington State,3,
356,6,Oct 4 2008,Sat,(19) Vanderbilt,14,,(13) Auburn,13,
357,6,Oct 4 2008,Sat,Virginia,31,,Maryland,0,
358,6,Oct 4 2008,Sat,(20) Virginia Tech,27,,Western Kentucky,13,
359,6,Oct 4 2008,Sat,West Virginia,24,,Rutgers,17,
360,6,Oct 4 2008,Sat,Western Michigan,41,,Ohio,20,
361,7,Oct 7 2008,Tue,Troy,30,@,Florida Atlantic,17,
362,7,Oct 9 2008,Thu,Houston,45,,Alabama-Birmingham,20,
363,7,Oct 9 2008,Thu,(21) Wake Forest,12,,Clemson,7,
364,7,Oct 10 2008,Fri,Louisville,35,@,Memphis,28,
365,7,Oct 11 2008,Sat,Air Force,35,@,San Diego State,10,
366,7,Oct 11 2008,Sat,Arkansas,25,@,(20) Auburn,22,
367,7,Oct 11 2008,Sat,Arkansas State,37,,Louisiana-Monroe,29,
368,7,Oct 11 2008,Sat,Army,17,,Eastern Michigan,13,
369,7,Oct 11 2008,Sat,(25) Ball State,24,@,Western Kentucky,7,
370,7,Oct 11 2008,Sat,Baylor,38,,Iowa State,10,
371,7,Oct 11 2008,Sat,(15) Boise State,24,@,Southern Mississippi,7,
372,7,Oct 11 2008,Sat,Bowling Green State,37,@,Akron,33,
373,7,Oct 11 2008,Sat,(9) Brigham Young,21,,New Mexico,3,
374,7,Oct 11 2008,Sat,Central Michigan,24,,Temple,14,
