Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
317,6,Oct 8 2005,Sat,Nevada-Las Vegas,13,,San Diego State,10,
318,6,Oct 8 2005,Sat,Northwestern,51,,(14) Wisconsin,48,
319,6,Oct 8 2005,Sat,(25) Oregon,31,@,(17) Arizona State,17,
320,6,Oct 8 2005,Sat,(16) Penn State,17,,(6) Ohio State,10,
321,6,Oct 8 2005,Sat,Pittsburgh,38,,Cincinnati,20,
322,6,Oct 8 2005,Sat,South Carolina,44,,Kentucky,16,
323,6,Oct 8 2005,Sat,(1) Southern California,42,,Arizona,21,
324,6,Oct 8 2005,Sat,Southern Methodist,28,@,Alabama-Birmingham,27,
325,6,Oct 8 2005,Sat,Stanford,24,@,Washington State,21,
326,6,Oct 8 2005,Sat,(2) Texas,45,,Oklahoma,12,
327,6,Oct 8 2005,Sat,Texas Christian,28,@,Wyoming,14,
328,6,Oct 8 2005,Sat,(15) Texas Tech,34,@,Nebraska,31,
329,6,Oct 8 2005,Sat,Toledo,30,,Eastern Michigan,3,
330,6,Oct 8 2005,Sat,Tulsa,34,@,Southern Mississippi,17,
331,6,Oct 8 2005,Sat,(20) UCLA,47,,(10) California,40,
332,6,Oct 8 2005,Sat,Utah State,24,,San Jose State,17,
333,6,Oct 8 2005,Sat,(3) Virginia Tech,41,,Marshall,14,
334,6,Oct 8 2005,Sat,West Virginia,27,@,Rutgers,14,
335,7,Oct 13 2005,Thu,Arkansas State,39,,Louisiana,36,
336,7,Oct 13 2005,Thu,Clemson,31,@,North Carolina State,10,
337,7,Oct 14 2005,Fri,Texas-El Paso,45,@,Tulane,21,
338,7,Oct 15 2005,Sat,Air Force,42,,Nevada-Las Vegas,7,
339,7,Oct 15 2005,Sat,(6) Alabama,13,@,Mississippi,10,
340,7,Oct 15 2005,Sat,(21) Auburn,34,@,Arkansas,17,
341,7,Oct 15 2005,Sat,Boise State,38,,San Jose State,21,
342,7,Oct 15 2005,Sat,(14) Boston College,35,,Wake Forest,30,
343,7,Oct 15 2005,Sat,Bowling Green State,27,@,Buffalo,7,
344,7,Oct 15 2005,Sat,Brigham Young,24,,Colorado State,14,
345,7,Oct 15 2005,Sat,Central Michigan,37,,Ohio,10,
346,7,Oct 15 2005,Sat,Cincinnati,28,,Connecticut,17,
347,7,Oct 15 2005,Sat,East Carolina,24,@,Southern Methodist,17,
348,7,Oct 15 2005,Sat,Fresno State,53,,Utah State,21,
349,7,Oct 15 2005,Sat,(5) Georgia,34,@,Vanderbilt,17,
350,7,Oct 15 2005,Sat,Georgia Tech,35,@,Duke,10,
351,7,Oct 15 2005,Sat,Hawaii,49,,New Mexico State,28,
352,7,Oct 15 2005,Sat,Iowa,38,,Indiana,21,
353,7,Oct 15 2005,Sat,(10) Louisiana State,21,,(11) Florida,17,
354,7,Oct 15 2005,Sat,Louisiana-Monroe,27,,Troy,3,
355,7,Oct 15 2005,Sat,Marshall,20,,Alabama-Birmingham,19,
356,7,Oct 15 2005,Sat,Memphis,35,@,Houston,20,
357,7,Oct 15 2005,Sat,(7) Miami (FL),34,@,Temple,3,
358,7,Oct 15 2005,Sat,Miami (OH),51,,Akron,23,
359,7,Oct 15 2005,Sat,Michigan,27,,(8) Penn State,25,
360,7,Oct 15 2005,Sat,Middle Tennessee State,35,@,Florida Atlantic,14,
361,7,Oct 15 2005,Sat,Missouri,27,,Iowa State,24,
362,7,Oct 15 2005,Sat,Navy,34,,Kent State,31,
363,7,Oct 15 2005,Sat,Nebraska,23,@,Baylor,14,
364,7,Oct 15 2005,Sat,Nevada,37,,Louisiana Tech,27,
365,7,Oct 15 2005,Sat,New Mexico,27,@,Wyoming,24,
366,7,Oct 15 2005,Sat,North Texas,13,@,Florida International,10,
367,7,Oct 15 2005,Sat,Northern Illinois,24,,Eastern Michigan,8,
368,7,Oct 15 2005,Sat,Northwestern,34,@,Purdue,29,
369,7,Oct 15 2005,Sat,(15) Ohio State,35,,(16) Michigan State,24,
370,7,Oct 15 2005,Sat,Oklahoma,19,@,Kansas,3,
371,7,Oct 15 2005,Sat,(20) Oregon,45,,Washington,21,
372,7,Oct 15 2005,Sat,Oregon State,23,@,(18) California,20,
373,7,Oct 15 2005,Sat,Pittsburgh,31,,South Florida,17,
374,7,Oct 15 2005,Sat,Rutgers,31,@,Syracuse,9,
375,7,Oct 15 2005,Sat,San Diego State,28,@,Utah,19,
376,7,Oct 15 2005,Sat,(1) Southern California,34,@,(9) Notre Dame,31,
377,7,Oct 15 2005,Sat,Southern Mississippi,52,,Central Florida,31,
